time="2023-12-25T11:39:32.728" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:35.730" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:35.730" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:38.732" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:38.732" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:41.734" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:41.734" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:44.735" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:44.735" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:47.737" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:47.737" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:50.738" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:50.739" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:53.740" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:53.740" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:56.742" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:56.742" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:39:59.743" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:39:59.743" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:40:02.745" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:40:02.745" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
