hostname,value,timestamp,id
node_2,32.8875667,1696162896,InSegs
node_2,-124.8826417,1696162896,OutSegs
master,246.10329,1696162901,InSegs
master,-397.95328,1696162901,OutSegs
node_3,169.565494,1696162901,InSegs
node_3,-252.144218,1696162901,OutSegs
node_1,76.682124,1696162901,InSegs
node_1,-149.41433,1696162901,OutSegs
node_2,177.3754008,1696162901,InSegs
node_2,-266.472958,1696162901,OutSegs
master,136.285594,1696162906,InSegs
master,-248.208044,1696162906,OutSegs
node_3,31.6345096,1696162906,InSegs
node_3,-112.2557822,1696162906,OutSegs
node_1,201.017472,1696162906,InSegs
node_1,-277.5722,1696162906,OutSegs
node_2,50.4856707,1696162906,InSegs
node_2,-144.2124527,1696162906,OutSegs
master,343.96822,1696162911,InSegs
master,-480.09148,1696162911,OutSegs
node_3,193.38756,1696162911,InSegs
node_3,-275.971628,1696162911,OutSegs
node_1,7.1825272,1696162911,InSegs
node_1,-81.0277904,1696162911,OutSegs
node_2,153.5875394,1696162911,InSegs
node_2,-243.260772,1696162911,OutSegs
master,219.89293,1696162916,InSegs
master,-338.190766,1696162916,OutSegs
node_3,8.7813628,1696162916,InSegs
node_3,-90.914191,1696162916,OutSegs
node_1,191.599998,1696162916,InSegs
node_1,-264.200008,1696162916,OutSegs
node_2,55,1696162916,InSegs
node_2,-148.799994,1696162916,OutSegs
master,215.274532,1696162921,InSegs
master,-355.8688,1696162921,OutSegs
node_3,192.5477776,1696162921,InSegs
node_3,-275.8308766,1696162921,OutSegs
node_1,41.2225896,1696162921,InSegs
node_1,-116.667052,1696162921,OutSegs
node_2,158.1999858,1696162921,InSegs
node_2,-245.999974,1696162921,OutSegs
master,164.614754,1696162926,InSegs
master,-278.072442,1696162926,OutSegs
node_3,32.5438697,1696162926,InSegs
node_3,-115.8135169,1696162926,OutSegs
node_1,178.177414,1696162926,InSegs
node_1,-251.132938,1696162926,OutSegs
node_2,137.843452,1696162926,InSegs
node_2,-229.448256,1696162926,OutSegs
master,211.903938,1696162931,InSegs
master,-347.406872,1696162931,OutSegs
node_3,169.9394435,1696162931,InSegs
node_3,-249.8697835,1696162931,OutSegs
node_1,66.841926,1696162931,InSegs
node_1,-144.041736,1696162931,OutSegs
